start_time,away_team,away_team_score,home_team,home_team_score,home_team_win?
2013-11-14 00:00:00+00:00,HOUSTON ROCKETS,117,PHILADELPHIA 76ERS,123,True
2013-11-14 00:30:00+00:00,CHARLOTTE BOBCATS,89,BOSTON CELTICS,83,False
2013-11-14 01:00:00+00:00,NEW YORK KNICKS,95,ATLANTA HAWKS,91,False
2013-11-14 01:00:00+00:00,TORONTO RAPTORS,103,MEMPHIS GRIZZLIES,87,False
2013-11-14 01:00:00+00:00,CLEVELAND CAVALIERS,95,MINNESOTA TIMBERWOLVES,124,True
2013-11-14 01:30:00+00:00,WASHINGTON WIZARDS,79,SAN ANTONIO SPURS,92,True
2013-11-14 02:00:00+00:00,LOS ANGELES LAKERS,99,DENVER NUGGETS,111,True
2013-11-14 02:00:00+00:00,NEW ORLEANS PELICANS,105,UTAH JAZZ,111,True
2013-11-14 03:00:00+00:00,PHOENIX SUNS,89,PORTLAND TRAIL BLAZERS,90,True
2013-11-14 03:00:00+00:00,BROOKLYN NETS,86,SACRAMENTO KINGS,107,True
2013-11-14 03:30:00+00:00,OKLAHOMA CITY THUNDER,103,LOS ANGELES CLIPPERS,111,True
2013-11-15 01:00:00+00:00,HOUSTON ROCKETS,109,NEW YORK KNICKS,106,False
2013-11-15 03:30:00+00:00,OKLAHOMA CITY THUNDER,115,GOLDEN STATE WARRIORS,116,True
2013-11-16 00:00:00+00:00,MILWAUKEE BUCKS,77,INDIANA PACERS,104,True
2013-11-16 00:00:00+00:00,CHICAGO BULLS,96,TORONTO RAPTORS,80,False
2013-11-16 00:30:00+00:00,PHILADELPHIA 76ERS,103,ATLANTA HAWKS,113,True
2013-11-16 00:30:00+00:00,PORTLAND TRAIL BLAZERS,109,BOSTON CELTICS,96,False
2013-11-16 00:30:00+00:00,CHARLOTTE BOBCATS,86,CLEVELAND CAVALIERS,80,False
2013-11-16 00:30:00+00:00,DALLAS MAVERICKS,104,MIAMI HEAT,110,True
2013-11-16 01:00:00+00:00,MINNESOTA TIMBERWOLVES,113,DENVER NUGGETS,117,True
2013-11-16 02:00:00+00:00,BROOKLYN NETS,100,PHOENIX SUNS,98,False
2013-11-16 02:00:00+00:00,SAN ANTONIO SPURS,91,UTAH JAZZ,82,False
2013-11-16 03:30:00+00:00,MEMPHIS GRIZZLIES,89,LOS ANGELES LAKERS,86,False
2013-11-16 03:30:00+00:00,DETROIT PISTONS,97,SACRAMENTO KINGS,90,False
2013-11-17 00:00:00+00:00,MIAMI HEAT,97,CHARLOTTE BOBCATS,81,False
2013-11-17 00:00:00+00:00,DALLAS MAVERICKS,108,ORLANDO MAGIC,100,False
2013-11-17 00:00:00+00:00,CLEVELAND CAVALIERS,103,WASHINGTON WIZARDS,96,False
2013-11-17 00:30:00+00:00,ATLANTA HAWKS,110,NEW YORK KNICKS,90,False
2013-11-17 01:00:00+00:00,INDIANA PACERS,94,CHICAGO BULLS,110,True
2013-11-17 01:00:00+00:00,DENVER NUGGETS,111,HOUSTON ROCKETS,122,True
2013-11-17 01:00:00+00:00,BOSTON CELTICS,88,MINNESOTA TIMBERWOLVES,106,True
2013-11-17 01:00:00+00:00,PHILADELPHIA 76ERS,98,NEW ORLEANS PELICANS,135,True
2013-11-17 01:30:00+00:00,OKLAHOMA CITY THUNDER,92,MILWAUKEE BUCKS,79,False
2013-11-17 03:30:00+00:00,UTAH JAZZ,88,GOLDEN STATE WARRIORS,102,True
2013-11-17 03:30:00+00:00,BROOKLYN NETS,103,LOS ANGELES CLIPPERS,110,True
2013-11-17 18:00:00+00:00,PORTLAND TRAIL BLAZERS,118,TORONTO RAPTORS,110,False
2013-11-17 23:00:00+00:00,MEMPHIS GRIZZLIES,97,SACRAMENTO KINGS,86,False
2013-11-18 02:30:00+00:00,DETROIT PISTONS,99,LOS ANGELES LAKERS,114,True
2013-11-19 00:30:00+00:00,PORTLAND TRAIL BLAZERS,108,BROOKLYN NETS,98,False
2013-11-19 01:00:00+00:00,CHARLOTTE BOBCATS,81,CHICAGO BULLS,86,True
2013-11-19 01:00:00+00:00,DENVER NUGGETS,113,OKLAHOMA CITY THUNDER,115,True
2013-11-19 01:30:00+00:00,PHILADELPHIA 76ERS,94,DALLAS MAVERICKS,97,True
2013-11-19 02:00:00+00:00,GOLDEN STATE WARRIORS,98,UTAH JAZZ,87,False
2013-11-19 03:30:00+00:00,MEMPHIS GRIZZLIES,106,LOS ANGELES CLIPPERS,102,False
2013-11-20 00:00:00+00:00,MINNESOTA TIMBERWOLVES,100,WASHINGTON WIZARDS,104,True
2013-11-20 00:30:00+00:00,NEW YORK KNICKS,86,DETROIT PISTONS,92,True
2013-11-20 00:30:00+00:00,ATLANTA HAWKS,88,MIAMI HEAT,104,True
2013-11-20 01:00:00+00:00,BOSTON CELTICS,85,HOUSTON ROCKETS,109,True
2013-11-20 03:00:00+00:00,PHOENIX SUNS,104,SACRAMENTO KINGS,107,True
2013-11-21 00:00:00+00:00,BROOKLYN NETS,91,CHARLOTTE BOBCATS,95,True
2013-11-21 00:00:00+00:00,WASHINGTON WIZARDS,98,CLEVELAND CAVALIERS,91,False
2013-11-21 00:00:00+00:00,INDIANA PACERS,103,NEW YORK KNICKS,96,False
2013-11-21 00:00:00+00:00,MIAMI HEAT,120,ORLANDO MAGIC,92,False
2013-11-21 00:00:00+00:00,TORONTO RAPTORS,108,PHILADELPHIA 76ERS,98,False
2013-11-21 00:30:00+00:00,DETROIT PISTONS,85,ATLANTA HAWKS,93,True
2013-11-21 01:00:00+00:00,PORTLAND TRAIL BLAZERS,91,MILWAUKEE BUCKS,82,False
2013-11-21 01:00:00+00:00,LOS ANGELES CLIPPERS,102,MINNESOTA TIMBERWOLVES,98,False
2013-11-21 01:00:00+00:00,UTAH JAZZ,98,NEW ORLEANS PELICANS,105,True
2013-11-21 01:30:00+00:00,BOSTON CELTICS,93,SAN ANTONIO SPURS,104,True
2013-11-21 02:00:00+00:00,SACRAMENTO KINGS,113,PHOENIX SUNS,106,False
2013-11-21 02:30:00+00:00,HOUSTON ROCKETS,120,DALLAS MAVERICKS,123,True
2013-11-21 03:30:00+00:00,MEMPHIS GRIZZLIES,88,GOLDEN STATE WARRIORS,81,False
2013-11-22 01:00:00+00:00,LOS ANGELES CLIPPERS,91,OKLAHOMA CITY THUNDER,105,True
2013-11-22 03:30:00+00:00,CHICAGO BULLS,87,DENVER NUGGETS,97,True
2013-11-23 00:00:00+00:00,PHOENIX SUNS,98,CHARLOTTE BOBCATS,91,False
2013-11-23 00:00:00+00:00,MILWAUKEE BUCKS,107,PHILADELPHIA 76ERS,115,True
2013-11-23 00:00:00+00:00,WASHINGTON WIZARDS,88,TORONTO RAPTORS,96,True
2013-11-23 00:30:00+00:00,INDIANA PACERS,97,BOSTON CELTICS,82,False
2013-11-23 00:30:00+00:00,ATLANTA HAWKS,96,DETROIT PISTONS,89,False
2013-11-23 01:00:00+00:00,SAN ANTONIO SPURS,102,MEMPHIS GRIZZLIES,86,False
2013-11-23 01:00:00+00:00,BROOKLYN NETS,81,MINNESOTA TIMBERWOLVES,111,True
2013-11-23 01:00:00+00:00,CLEVELAND CAVALIERS,100,NEW ORLEANS PELICANS,104,True
2013-11-23 01:30:00+00:00,UTAH JAZZ,93,DALLAS MAVERICKS,103,True
2013-11-23 03:00:00+00:00,CHICAGO BULLS,95,PORTLAND TRAIL BLAZERS,98,True
2013-11-23 03:30:00+00:00,GOLDEN STATE WARRIORS,95,LOS ANGELES LAKERS,102,True
2013-11-23 20:30:00+00:00,SACRAMENTO KINGS,102,LOS ANGELES CLIPPERS,103,True
2013-11-24 00:00:00+00:00,PHILADELPHIA 76ERS,98,INDIANA PACERS,106,True
2013-11-24 00:00:00+00:00,NEW YORK KNICKS,89,WASHINGTON WIZARDS,98,True
2013-11-24 00:30:00+00:00,BOSTON CELTICS,94,ATLANTA HAWKS,87,False
2013-11-24 00:30:00+00:00,ORLANDO MAGIC,99,MIAMI HEAT,101,True
2013-11-24 01:00:00+00:00,MINNESOTA TIMBERWOLVES,101,HOUSTON ROCKETS,112,True
2013-11-24 01:30:00+00:00,CHARLOTTE BOBCATS,96,MILWAUKEE BUCKS,72,False
2013-11-24 01:30:00+00:00,CLEVELAND CAVALIERS,96,SAN ANTONIO SPURS,126,True
2013-11-24 02:00:00+00:00,DALLAS MAVERICKS,100,DENVER NUGGETS,102,True
2013-11-24 03:30:00+00:00,PORTLAND TRAIL BLAZERS,113,GOLDEN STATE WARRIORS,101,False
2013-11-24 19:00:00+00:00,DETROIT PISTONS,109,BROOKLYN NETS,97,False
2013-11-24 20:30:00+00:00,CHICAGO BULLS,82,LOS ANGELES CLIPPERS,121,True
2013-11-24 23:00:00+00:00,PHOENIX SUNS,104,ORLANDO MAGIC,96,False
2013-11-25 00:00:00+00:00,UTAH JAZZ,73,OKLAHOMA CITY THUNDER,95,True
2013-11-25 02:30:00+00:00,SACRAMENTO KINGS,86,LOS ANGELES LAKERS,100,True
2013-11-26 00:00:00+00:00,BOSTON CELTICS,96,CHARLOTTE BOBCATS,86,False
2013-11-26 00:00:00+00:00,MINNESOTA TIMBERWOLVES,84,INDIANA PACERS,98,True
2013-11-26 00:30:00+00:00,MILWAUKEE BUCKS,94,DETROIT PISTONS,113,True
2013-11-26 00:30:00+00:00,PHOENIX SUNS,92,MIAMI HEAT,107,True
2013-11-26 01:00:00+00:00,HOUSTON ROCKETS,93,MEMPHIS GRIZZLIES,86,False
2013-11-26 01:30:00+00:00,DENVER NUGGETS,110,DALLAS MAVERICKS,96,False
2013-11-26 01:30:00+00:00,NEW ORLEANS PELICANS,93,SAN ANTONIO SPURS,112,True
2013-11-26 02:00:00+00:00,CHICAGO BULLS,83,UTAH JAZZ,89,True
2013-11-26 03:00:00+00:00,NEW YORK KNICKS,91,PORTLAND TRAIL BLAZERS,102,True
2013-11-27 00:00:00+00:00,BROOKLYN NETS,102,TORONTO RAPTORS,100,False
2013-11-27 00:00:00+00:00,LOS ANGELES LAKERS,111,WASHINGTON WIZARDS,116,True
2013-11-27 00:30:00+00:00,ORLANDO MAGIC,109,ATLANTA HAWKS,92,False
2013-11-27 01:00:00+00:00,GOLDEN STATE WARRIORS,102,NEW ORLEANS PELICANS,101,False
2013-11-28 00:00:00+00:00,INDIANA PACERS,99,CHARLOTTE BOBCATS,74,False
2013-11-28 00:00:00+00:00,PHILADELPHIA 76ERS,94,ORLANDO MAGIC,105,True
2013-11-28 00:30:00+00:00,MEMPHIS GRIZZLIES,100,BOSTON CELTICS,93,False
2013-11-28 00:30:00+00:00,LOS ANGELES LAKERS,99,BROOKLYN NETS,94,False
2013-11-28 00:30:00+00:00,MIAMI HEAT,95,CLEVELAND CAVALIERS,84,False
2013-11-28 00:30:00+00:00,CHICAGO BULLS,99,DETROIT PISTONS,79,False
2013-11-28 01:00:00+00:00,ATLANTA HAWKS,84,HOUSTON ROCKETS,113,True
2013-11-28 01:00:00+00:00,WASHINGTON WIZARDS,100,MILWAUKEE BUCKS,92,False
2013-11-28 01:00:00+00:00,DENVER NUGGETS,117,MINNESOTA TIMBERWOLVES,110,False
2013-11-28 01:00:00+00:00,SAN ANTONIO SPURS,88,OKLAHOMA CITY THUNDER,94,True
2013-11-28 01:30:00+00:00,GOLDEN STATE WARRIORS,99,DALLAS MAVERICKS,103,True
2013-11-28 02:00:00+00:00,PORTLAND TRAIL BLAZERS,106,PHOENIX SUNS,120,True
2013-11-28 03:30:00+00:00,NEW YORK KNICKS,80,LOS ANGELES CLIPPERS,93,True
2013-11-30 00:00:00+00:00,MILWAUKEE BUCKS,76,CHARLOTTE BOBCATS,92,True
2013-11-30 00:00:00+00:00,SAN ANTONIO SPURS,109,ORLANDO MAGIC,91,False
2013-11-30 00:00:00+00:00,MIAMI HEAT,90,TORONTO RAPTORS,83,False
2013-11-30 00:30:00+00:00,DALLAS MAVERICKS,87,ATLANTA HAWKS,88,True
2013-11-30 00:30:00+00:00,CLEVELAND CAVALIERS,86,BOSTON CELTICS,103,True
2013-11-30 00:30:00+00:00,LOS ANGELES LAKERS,106,DETROIT PISTONS,102,False
2013-11-30 01:00:00+00:00,BROOKLYN NETS,95,HOUSTON ROCKETS,114,True
2013-11-30 01:00:00+00:00,WASHINGTON WIZARDS,73,INDIANA PACERS,93,True
2013-11-30 01:00:00+00:00,GOLDEN STATE WARRIORS,112,OKLAHOMA CITY THUNDER,113,True
2013-11-30 01:00:00+00:00,NEW ORLEANS PELICANS,121,PHILADELPHIA 76ERS,105,False
2013-11-30 02:00:00+00:00,NEW YORK KNICKS,95,DENVER NUGGETS,97,True
2013-11-30 02:00:00+00:00,PHOENIX SUNS,112,UTAH JAZZ,101,False
2013-11-30 03:00:00+00:00,LOS ANGELES CLIPPERS,104,SACRAMENTO KINGS,98,False
2013-12-01 00:00:00+00:00,ATLANTA HAWKS,101,WASHINGTON WIZARDS,108,True
2013-12-01 00:30:00+00:00,CHICAGO BULLS,93,CLEVELAND CAVALIERS,97,True
2013-12-01 01:00:00+00:00,BROOKLYN NETS,97,MEMPHIS GRIZZLIES,88,False
2013-12-01 01:30:00+00:00,MINNESOTA TIMBERWOLVES,112,DALLAS MAVERICKS,106,False
2013-12-01 01:30:00+00:00,HOUSTON ROCKETS,112,SAN ANTONIO SPURS,106,False
2013-12-01 02:00:00+00:00,BOSTON CELTICS,85,MILWAUKEE BUCKS,92,True
2013-12-01 02:00:00+00:00,UTAH JAZZ,112,PHOENIX SUNS,104,False
2013-12-01 18:00:00+00:00,DENVER NUGGETS,112,TORONTO RAPTORS,98,False
2013-12-01 20:30:00+00:00,PHILADELPHIA 76ERS,100,DETROIT PISTONS,115,True
2013-12-01 20:30:00+00:00,INDIANA PACERS,105,LOS ANGELES CLIPPERS,100,False
2013-12-01 23:00:00+00:00,CHARLOTTE BOBCATS,98,MIAMI HEAT,99,True
2013-12-01 23:00:00+00:00,GOLDEN STATE WARRIORS,115,SACRAMENTO KINGS,113,False
2013-12-02 00:00:00+00:00,MINNESOTA TIMBERWOLVES,103,OKLAHOMA CITY THUNDER,113,True
2013-12-02 00:30:00+00:00,NEW ORLEANS PELICANS,103,NEW YORK KNICKS,99,False
2013-12-02 02:30:00+00:00,PORTLAND TRAIL BLAZERS,114,LOS ANGELES LAKERS,108,False
2013-12-03 00:00:00+00:00,ORLANDO MAGIC,80,WASHINGTON WIZARDS,98,True
2013-12-03 01:00:00+00:00,NEW ORLEANS PELICANS,131,CHICAGO BULLS,128,False
2013-12-03 01:30:00+00:00,ATLANTA HAWKS,100,SAN ANTONIO SPURS,102,True
2013-12-03 02:00:00+00:00,HOUSTON ROCKETS,103,UTAH JAZZ,109,True
2013-12-03 03:00:00+00:00,INDIANA PACERS,102,PORTLAND TRAIL BLAZERS,106,True
2013-12-04 00:00:00+00:00,ORLANDO MAGIC,125,PHILADELPHIA 76ERS,126,True
2013-12-04 00:30:00+00:00,MILWAUKEE BUCKS,100,BOSTON CELTICS,108,True
2013-12-04 00:30:00+00:00,DENVER NUGGETS,111,BROOKLYN NETS,87,False
2013-12-04 00:30:00+00:00,DETROIT PISTONS,107,MIAMI HEAT,97,False
2013-12-04 01:00:00+00:00,PHOENIX SUNS,91,MEMPHIS GRIZZLIES,110,True
